Date,Temperature (¡C) | (¡F),Temperature max. (¡C) | (¡F),Temperature min. (¡C) | (¡F),Water Temperature (¡C) | (¡F),Precipitation / Rainfall (mm) | (inch.)
1. November,28 ¡C | 82 ¡F,30 ¡C | 85 ¡F,26 ¡C | 79 ¡F,28 ¡C | 83 ¡F,3.2 mm | 0.1 inch.
2. November,28 ¡C | 82 ¡F,30 ¡C | 85 ¡F,26 ¡C | 79 ¡F,28 ¡C | 83 ¡F,3.0 mm | 0.1 inch.
3. November,28 ¡C | 82 ¡F,30 ¡C | 86 ¡F,26 ¡C | 80 ¡F,28 ¡C | 83 ¡F,4.0 mm | 0.2 inch.
4. November,28 ¡C | 82 ¡F,30 ¡C | 85 ¡F,26 ¡C | 80 ¡F,28 ¡C | 83 ¡F,3.2 mm | 0.1 inch.
5. November,28 ¡C | 82 ¡F,30 ¡C | 85 ¡F,26 ¡C | 80 ¡F,28 ¡C | 83 ¡F,4.5 mm | 0.2 inch.
6. November,28 ¡C | 82 ¡F,29 ¡C | 85 ¡F,26 ¡C | 80 ¡F,28 ¡C | 83 ¡F,1.8 mm | 0.1 inch.
7. November,28 ¡C | 82 ¡F,30 ¡C | 85 ¡F,26 ¡C | 79 ¡F,28 ¡C | 83 ¡F,2.9 mm | 0.1 inch.
8. November,28 ¡C | 82 ¡F,30 ¡C | 85 ¡F,26 ¡C | 79 ¡F,28 ¡C | 83 ¡F,3.3 mm | 0.1 inch.
9. November,28 ¡C | 82 ¡F,29 ¡C | 85 ¡F,26 ¡C | 79 ¡F,28 ¡C | 83 ¡F,2.8 mm | 0.1 inch.
10. November,28 ¡C | 82 ¡F,29 ¡C | 85 ¡F,26 ¡C | 79 ¡F,28 ¡C | 83 ¡F,3.0 mm | 0.1 inch.
11. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 83 ¡F,3.0 mm | 0.1 inch.
12. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.8 mm | 0.1 inch.
13. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.9 mm | 0.2 inch.
14. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.6 mm | 0.1 inch.
15. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.5 mm | 0.1 inch.
16. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.9 mm | 0.2 inch.
17. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,2.0 mm | 0.1 inch.
18. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,1.5 mm | 0.1 inch.
19. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,1.1 mm | 0.0 inch.
20. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,26 ¡C | 78 ¡F,28 ¡C | 82 ¡F,2.8 mm | 0.1 inch.
21. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,25 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.1 mm | 0.1 inch.
22. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,25 ¡C | 78 ¡F,28 ¡C | 82 ¡F,3.3 mm | 0.1 inch.
23. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,25 ¡C | 77 ¡F,28 ¡C | 82 ¡F,2.7 mm | 0.1 inch.
24. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,25 ¡C | 78 ¡F,28 ¡C | 82 ¡F,2.6 mm | 0.1 inch.
25. November,27 ¡C | 80 ¡F,29 ¡C | 84 ¡F,25 ¡C | 77 ¡F,28 ¡C | 82 ¡F,2.2 mm | 0.1 inch.
26. November,27 ¡C | 81 ¡F,29 ¡C | 84 ¡F,25 ¡C | 77 ¡F,28 ¡C | 82 ¡F,2.3 mm | 0.1 inch.
27. November,27 ¡C | 80 ¡F,29 ¡C | 84 ¡F,25 ¡C | 77 ¡F,28 ¡C | 82 ¡F,2.4 mm | 0.1 inch.
28. November,27 ¡C | 80 ¡F,29 ¡C | 84 ¡F,25 ¡C | 77 ¡F,27 ¡C | 81 ¡F,2.1 mm | 0.1 inch.
29. November,27 ¡C | 80 ¡F,29 ¡C | 83 ¡F,25 ¡C | 77 ¡F,27 ¡C | 81 ¡F,2.6 mm | 0.1 inch.
30. November,27 ¡C | 80 ¡F,28 ¡C | 83 ¡F,25 ¡C | 77 ¡F,27 ¡C | 81 ¡F,3.0 mm | 0.1 inch.
